ra,dec,sy_dist,pl_rade,x,y,z
185.1787793,17.7932516,1096.2894117647058,12.2,939.7592529544341,-166.33902235976973,539.4759961984636
229.2745954,71.8239428,1474.364705882353,12.3,-617.0448328669252,38.10042394718578,-1338.489939401425
352.82415,39.2358367,887.52,13.1,504.5119167014666,729.5515240571362,30.233260692858032
242.6021014,43.8163621,210.96823529411765,12.6,26.664106429723848,22.434586626031457,208.07044733536196
295.4656422,50.5168243,248.70235294117649,13.5,61.10277711094633,9.605907295874319,240.88801865769622
243.4620874,-11.8377905,1470.0352941176473,12.9,-11.102147074229975,-978.7025553232804,1096.8235120043612
314.6078375,10.8391378,896.7294117647058,12.5,-798.1466504712225,-384.1441832976264,-139.70973016953
242.3762343,-21.0831403,1636.8823529411761,18.647,1148.2983292706926,588.5064376049058,-1007.20154748787
217.1555242,49.8446488,1129.2505882352941,13.9,427.4441561125332,173.5239235396145,1030.7219956876927
155.8684866,-0.9023998,847.8717647058824,13.4,-234.193780344419,622.8498372500036,525.4501716348575
155.8684866,-0.9023998,847.8717647058824,13.9,-234.193780344419,622.8498372500036,525.4501716348575
69.3405531,26.8502997,1511.5764705882355,13.0,1457.4636942869781,334.3671206456803,-221.04668036968573
15.8992489,-55.2658291,555.2941176470589,12.3,-522.7191756406455,-101.22632032179818,157.7005154877383
20.7128012,-24.6646128,397.9776470588235,11.209,-51.770900109161424,171.94963174574917,355.1609573177575
34.8427046,-39.4230767,471.6428376470588,16.141,447.29427130075214,131.1363653086905,-71.95870245442642
70.4371079,23.0308544,1416.7527882352942,12.6,-300.7220801396044,-1184.0097334117906,-717.5483570290789
181.8890906,-39.5484399,756.564705882353,12.9,-689.7253249209507,231.08368648163014,-208.01312504647376
294.6359173,46.0664076,4662.729411764706,13.4,3174.1432195513016,-2534.379226985394,-2289.7122795096016
339.1025931,47.861683,818.5141176470588,12.3,-540.7317408464261,103.66460155007381,-605.6634342720396
39.2412736,24.6480103,525.3764705882353,12.3,-7.009066332518927,-244.70947498159202,464.85329050263886
130.0528099,64.3280504,864.2388235294119,12.6,-273.79065431684387,-817.1894341818814,64.4115701233327
276.4975053,65.5633652,1066.5235294117647,13.0,424.90841121548965,15.878472238219441,-978.0967002227518
164.8647611,40.4304931,162.31411764705882,13.2,4.453443393533985,64.57801122697128,-148.84797645736742
164.8647611,40.4304931,162.31411764705882,14.2,4.453443393533985,64.57801122697128,-148.84797645736742
164.8647611,40.4304931,162.31411764705882,13.5,4.453443393533985,64.57801122697128,-148.84797645736742
69.4007424,-2.4738245,350.0882352941177,13.4,-207.99912535326936,-61.09770701590108,-274.8912631223909
344.3675399,20.7690958,181.89882352941177,14.3,60.72370171822126,-159.80050385278278,-62.15796826970241
133.1468373,28.3298154,148.06470588235294,13.9,-2.9756037386738186,-7.652476984435405,-147.83687803258277
133.1468373,28.3298154,148.06470588235294,8.51,-2.9756037386738186,-7.652476984435405,-147.83687803258277
133.1468373,28.3298154,148.06470588235294,13.0,-2.9756037386738186,-7.652476984435405,-147.83687803258277
133.1468373,28.3298154,148.06470588235294,1.875,-2.9756037386738186,-7.652476984435405,-147.83687803258277
133.1468373,28.3298154,148.06470588235294,7.59,-2.9756037386738186,-7.652476984435405,-147.83687803258277
97.6960311,58.1611753,643.0576470588236,13.4,-612.5241728175789,-193.9542070733347,-26.814934523979424
199.596455,-18.3157745,100.03905882352942,2.11,5.350864967891079,-50.61706714604162,86.12255249309607
199.596455,-18.3157745,100.03905882352942,4.46,5.350864967891079,-50.61706714604162,86.12255249309607
199.596455,-18.3157745,100.03905882352942,5.11,5.350864967891079,-50.61706714604162,86.12255249309607
99.171276,-19.2561808,233.06,13.4,-19.315230725160873,90.13154975438711,214.05650936354692
99.171276,-19.2561808,233.06,13.9,-19.315230725160873,90.13154975438711,214.05650936354692
202.1064898,13.7763085,210.60117647058826,12.6,98.96833772381393,170.37878729085,74.35854019734556
38.0391598,-1.0350269,976.0152941176469,13.3,-791.1955174207417,-279.91772411432254,498.2585426177254
38.0391598,-1.0350269,976.0152941176469,13.9,-791.1955174207417,-279.91772411432254,498.2585426177254
224.201685,74.9009379,1912.376470588235,13.6,373.81630590232635,832.1794756087354,1680.7505630154114
39.4243555,-3.3963607,1191.294117647059,13.1,-46.1857564930943,296.6573337099008,-1152.8412627043579
348.9745031,-9.0878076,518.0047058823529,13.1,165.6112778904461,43.651840241980764,-488.87247498222376
73.9410446,30.5510888,1907.3764705882352,12.5,-164.56020954637543,1442.1359173741569,1237.4364362693884
94.8039208,-58.0541184,588.7941176470588,12.3,-498.9947191106654,-310.16858525876046,38.447782693228056
81.7699216,-11.9011752,315.9576470588235,13.1,194.2497194948531,17.23859102153026,248.5942722403543
311.2911369,-31.34245,114.37764705882353,3.957,-8.084508192033088,-2.267633927648641,114.06903484458843
