ra,dec,sy_dist,pl_rade,x,y,z
185.1787793,17.7932516,1.096289411764706,12.2,0.9397592529544342,-0.16633902235976974,-0.9543668706912872
229.2745954,71.8239428,1.474364705882353,12.3,-0.6170448328669251,0.03810042394718579,0.6182199997353102
352.82415,39.2358367,0.88752,13.1,0.5045119167014667,0.7295515240571363,0.8870049043539037
242.6021014,43.8163621,0.21096823529411765,12.6,0.02666410642972385,0.02243458662603146,-0.03484659594245255
295.4656422,50.5168243,0.24870235294117649,13.5,0.06110277711094633,0.00960590729587432,0.06185323617764004
243.4620874,-11.8377905,1.470035294117647,12.9,-0.011102147074229974,-0.9787025553232803,0.9787655232311652
314.6078375,10.8391378,0.8967294117647058,12.5,-0.7981466504712226,-0.3841441832976264,-0.885779221487969
242.3762343,-21.0831403,1.6368823529411762,18.647,1.1482983292706928,0.588506437604906,-1.2903212313638341
217.1555242,49.8446488,1.1292505882352941,13.9,0.42744415611253317,0.1735239235396145,-0.46132316074021
155.8684866,-0.9023998,0.8478717647058823,13.4,-0.234193780344419,0.6228498372500036,-0.6654236594188442
155.8684866,-0.9023998,0.8478717647058823,13.9,-0.234193780344419,0.6228498372500036,-0.6654236594188442
69.3405531,26.8502997,1.5115764705882355,13.0,1.457463694286978,0.33436712064568025,1.4953266504458245
15.8992489,-55.2658291,0.5552941176470588,12.3,-0.5227191756406454,-0.10122632032179817,0.5324303752682854
20.7128012,-24.6646128,0.3979776470588235,11.209,-0.05177090010916143,0.17194963174574918,0.1795742240846707
34.8427046,-39.4230767,0.47164283764705883,16.141,0.4472942713007522,0.13113636530869052,-0.46612113387492443
70.4371079,23.0308544,1.4167527882352942,12.6,-0.3007220801396044,-1.1840097334117905,-1.2216025615139114
181.8890906,-39.5484399,0.756564705882353,12.9,-0.6897253249209507,0.23108368648163016,-0.7274068283947103
294.6359173,46.0664076,4.662729411764706,13.4,3.174143219551301,-2.5343792269853935,4.061805416855734
339.1025931,47.861683,0.8185141176470588,12.3,-0.5407317408464261,0.10366460155007381,-0.5505789363691114
39.2412736,24.6480103,0.5253764705882352,12.3,-0.007009066332518926,-0.24470947498159198,-0.24480983263876482
