ra,dec,sy_dist
185.1787793,17.7932516,0.01096289411764706
229.2745954,71.8239428,0.01474364705882353
352.82415,39.2358367,0.0088752
242.6021014,43.8163621,0.0021096823529411766
295.4656422,50.5168243,0.002487023529411765
243.4620874,-11.8377905,0.014700352941176472
314.6078375,10.8391378,0.008967294117647058
242.3762343,-21.0831403,0.016368823529411762
217.1555242,49.8446488,0.011292505882352942
155.8684866,-0.9023998,0.008478717647058823
155.8684866,-0.9023998,0.008478717647058823
69.3405531,26.8502997,0.015115764705882355
15.8992489,-55.2658291,0.005552941176470589
20.7128012,-24.6646128,0.003979776470588235
34.8427046,-39.4230767,0.004716428376470588
42.4851627,-5.9599921,0.007771917647058824
59.7911026,20.1599759,0.013815882352941176
70.4371079,23.0308544,0.014167527882352942
165.3295388,-77.5440912,
178.7691634,-79.3197558,0.011866117647058822
181.8890906,-39.5484399,0.00756564705882353
294.6359173,46.0664076,0.04662729411764706
321.3662989,-81.6414894,0.0040135764705882355
339.1025931,47.861683,0.008185141176470588
39.2412736,24.6480103,0.005253764705882353
130.0528099,64.3280504,0.008642388235294118
276.4975053,65.5633652,0.010665235294117647
164.8647611,40.4304931,0.0016231411764705882
164.8647611,40.4304931,0.0016231411764705882
164.8647611,40.4304931,0.0016231411764705882
69.4007424,-2.4738245,0.0035008823529411766
344.3675399,20.7690958,0.0018189882352941176
133.1468373,28.3298154,0.0014806470588235295
133.1468373,28.3298154,0.0014806470588235295
133.1468373,28.3298154,0.0014806470588235295
133.1468373,28.3298154,0.0014806470588235295
133.1468373,28.3298154,0.0014806470588235295
97.6960311,58.1611753,0.006430576470588235
199.596455,-18.3157745,0.0010003905882352941
199.596455,-18.3157745,0.0010003905882352941
199.596455,-18.3157745,0.0010003905882352941
99.171276,-19.2561808,0.0023306
99.171276,-19.2561808,0.0023306
202.1064898,13.7763085,0.0021060117647058825
38.0391598,-1.0350269,0.00976015294117647
38.0391598,-1.0350269,0.00976015294117647
224.201685,74.9009379,0.01912376470588235
39.4243555,-3.3963607,0.01191294117647059
348.9745031,-9.0878076,0.0051800470588235295
73.9410446,30.5510888,0.019073764705882353
94.8039208,-58.0541184,0.005887941176470588
81.7699216,-11.9011752,0.0031595764705882354
311.2911369,-31.34245,0.0011437764705882353
311.2911369,-31.34245,0.0011437764705882353
311.2911369,-31.34245,0.0011437764705882353
177.5647268,2.7601075,0.1259564705882353
318.4010002,14.6893834,0.005806117647058823
176.4820239,14.6163182,0.09035823529411764
240.09564,15.5467507,0.05016705882352941
154.186782,19.8912626,0.18114235294117648
154.186782,19.8912626,0.18114235294117648
25.9203179,21.0052692,0.1555894117647059
53.6511231,20.5990205,0.021113058823529412
32.9470485,45.9242187,0.006308470588235294
40.7102869,49.5869395,0.10252858823529412
40.7425426,48.9300579,0.07842223529411765
45.6406187,49.7299481,0.05200494117647059
23.9636676,56.6982282,0.0061846705882352936
190.8875453,60.0143636,0.005288741176470589
