ra,dec,sy_dist,pl_rade,st_rad,st_teff,x,y,z
33.1310921,51.7787754,6319.143451765202,13.11453,1.5850597014841197,6087.0,3274.028447445201,2136.844896850188,4964.494493512095
33.1540208,-35.3909182,6609.548008175892,10.36830715,1.68471792536196,5607.0,4511.047397282539,2946.779182934505,-3827.932692573915
33.1780708,-53.7437591,544.937239564905,3.35,1.414226971472707,5035.0,269.73533228846094,176.3624468318935,-439.4265956076393
33.3024198,-21.1962147,453.9144024670774,14.0,1.399304309426097,4051.0,353.708914291284,232.36471382613144,-164.11864149579455
34.1979991,43.7722065,932.7733239671066,13.2,1.5719103437735948,5867.0,557.0948196596684,378.57280872545203,645.2860329394467
34.293348,23.7676546,2847.644429999009,12.2,2.3411951099619097,4815.0,2153.088488630955,1468.371121740079,1147.6824511462357
34.5609102,65.5941901,1583.4608434637976,13.9,1.6690301211321805,6255.0,538.8157614171048,371.16180407453066,1441.9655797652476
34.7480718,85.7365329,3660.4776974998513,13.4,2.3016389037940224,4835.0,223.60039560306427,155.10596777951022,3650.3481992460866
34.8427046,-39.4230767,784.9169365118495,16.14096,1.0715115622789666,3064.0,497.6301317888669,346.4123023082608,-498.45497887816487
35.2135563,23.5204408,1211.5159651203596,2.83,1.2544976142703372,3580.0,907.5824627902788,640.5506466468048,483.4872036128869
35.2157609,-1.8260419,11290.42184070987,13.67495645,1.6160748103655063,6250.0,9219.43580611967,6507.3953638198145,-359.76983886004285
35.3834942,32.2460441,5137.977403567031,9.247,1.4702344669931315,5330.0,3542.8789453666122,2516.257229809688,2741.399301720536
35.5624031,47.8802075,215.1132645849153,4.67,1.3148232454931406,3785.0,117.36339662289453,83.90750813411834,159.55901670616984
35.8085099,10.8367972,2384.5067334920436,13.7,2.0373570791968554,4946.0,1899.2942806498497,1370.2431120219167,448.3161959110545
36.1561463,-65.0001957,3849.0352653790796,11.48920522,1.3320911419169472,3943.0,1313.3855471127904,959.7100429599998,-3488.416189649503
36.7127375,37.5504441,2441.3087396132064,17.855937,1.6202802882376113,7430.0,1551.5885844303837,1157.055154417351,1487.8792277645994
36.7758112,-50.2844247,3170.183502163317,11.88154,1.5637658385196036,6040.0,1622.5329943729373,1212.7417519493772,-2438.5872062812145
36.8678846,-27.6361171,880.5486651151308,1.77,1.444577336275417,5131.0,624.0868958499211,468.0309120988256,-408.4465245101124
37.1555223,-7.0606675,2101.791796720129,13.56,1.4654788461870154,5617.0,1662.422769923133,1259.814731269843,-258.3527311189467
37.1978356,-80.8991053,729.0975591612234,2.104,1.1932331774633167,3326.0,91.86157259799602,69.72125937896398,-719.9191956360714
38.0391598,-1.0350269,1652.4610146329962,13.3,2.281579649774835,4809.0,1301.249067587768,1018.0801924206584,-29.84946874889128
38.1209678,-78.0236828,1636.5151718031152,2.265,1.438643276134913,5328.0,267.15773577229993,209.63634568106903,-1600.8938922765258
38.2712534,-10.352178,895.6567441212085,2.24,1.4059698499573485,4757.0,691.7223502543701,545.7261050961052,-160.9478538689132
38.361569,41.0134321,6785.215345239595,14.19902343,1.7606778082869454,5982.0,4014.504208431826,3177.47487409071,4452.702175789467
38.3691648,56.025708,13228.408348092755,16.47720163,1.6461858559029334,7000.0,5795.775780481969,4588.598852250532,10970.165500091318
38.4706782,-10.6573827,5101.127936824375,11.5004142,1.5439553548336002,5757.0,3924.918218878832,3118.742738606427,-943.3805877549114
38.8323674,-3.5624887,738.3028433024833,10.9,1.628536220616803,5757.0,574.0146393423663,462.05375762547567,-45.87599931731968
39.2412736,24.6480103,877.3412842921153,12.3,1.6122918010270992,6331.0,617.5806750247822,504.4277457102272,365.88862829687827
39.2441029,-34.5790905,487.53018179321765,5.0,1.6629493609360515,5841.0,310.8710832669593,253.93897820075722,-276.6944941593714
39.2577379,42.0624526,1184.9665415254306,12.8,1.678920680422479,5981.0,681.1866601724983,556.7062691266341,793.8567682226318
39.2823371,54.8512152,7994.711571054307,13.08088048,1.5855750984272101,5950.0,3562.551264743857,2914.08089182465,6536.95450086078
39.4243555,-3.3963607,2022.7506011699825,13.1,2.307370080027909,4734.0,1559.7570050537272,1282.3096164865208,-119.83374810771845
39.4297435,80.2673838,4129.848033082455,13.30506009,1.4461421729340147,5281.0,539.2559666749277,443.41886346783116,4070.408762063266
39.8976689,-50.0081934,3184.287883448123,11.43318,1.6629526318363532,6150.0,1570.0353717577127,1312.6448026383773,-2439.598712536675
40.0136203,-61.3550396,777.8436769187113,12.4,1.411615405365258,4866.12,285.58813514105765,239.75261206814176,-682.6411120021827
40.1798608,1.1996757,457.82801414639084,2.363,1.3427251062109409,4375.0,349.71439379712655,295.3209317511565,9.585435721181899
40.6417178,-50.7993484,324.1156465486685,12.7,1.5380733505344324,6167.0,155.4422327254327,133.42655357561227,-251.16930430275133
40.7102869,49.5869395,17609.063241256026,13.9,2.301029883380495,4414.0,8653.404216877925,7445.8053292023305,13407.37434002257
40.7425426,48.9300579,13462.65844529923,13.5,2.2799607878875507,4534.0,6701.182656950998,5772.588795356574,10149.607973349985
41.0400779,-30.1690785,8771.282211205978,14.45961,1.7583788348527203,6250.0,5719.615887539566,4979.014591458826,-4408.038047211427
41.5924261,49.6530375,4595.980634080311,12.5,2.3716713101609725,4326.0,2225.338340077845,1975.2218469469228,3502.7711767062983
41.6391598,-0.4641252,8356.042750712119,12.21781,1.6001870333416188,6272.0,6244.634729331044,5551.883099672712,-67.6874916781938
41.6800749,-23.0860048,446.6011694737791,13.2,1.3526712645986498,3901.0,306.8409754069793,273.193983288467,-175.11786853894006
42.2476999,-14.5372835,740.3466632591052,2.415,1.2700313287781437,3476.0,530.4922973283925,481.82641020361217,-185.83437438868972
42.2915093,-58.0246828,8121.226049953312,12.17295304,1.63214126229211,6466.0,3181.3061633155385,2893.904216556905,-6889.043622672527
42.4366123,71.7530882,1553.811289003973,1.094,1.6368148053148743,6046.0,359.0620512036438,328.2897049168897,1475.679448548092
42.4851627,-5.9599921,1310.4752991190492,12.4,1.1108240705925894,2859.0,961.1891664649195,880.3097968086263,-136.0718836291683
42.5582023,25.3335334,1721.0362331379467,8.18255591,1.678920680422479,6560.0,1145.7874933514665,1052.064007419255,736.4088946678703
42.7217412,29.0222492,7281.944538063314,11.309881,1.4591564003975592,5131.0,4677.974460432903,4319.998327356831,3532.829695103037
