rastr,ra,decstr,dec,glat,glon,elat,elon,ra_reflink,sy_dist,sy_disterr1,sy_disterr2
21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,-32.11971,310.65078,-60.64920,283.39145,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,34.1154000,0.0811000,-0.0807000
22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,-9.10923,100.74846,50.85330,6.85902,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,69.5737000,0.1592000,-0.1585000
02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,-32.30930,151.47681,8.85457,44.56452,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,44.6570000,0.1039000,-0.1034000
08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,35.95654,151.35882,44.02809,112.80905,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,73.4603000,1.1860500,-1.1860500
18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,27.12504,95.41912,87.18291,342.26846,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,90.6545000,1.3227000,-1.3227000
10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06831,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.7967000,0.0289000,-0.0289000
10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06831,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.7967000,0.0289000,-0.0289000
10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06831,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.7967000,0.0289000,-0.0289000
04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,29.7575000,0.1213000,-0.1203000
22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,-34.72750,90.06374,25.18633,354.28512,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.4614000,0.0297000,-0.0297000
08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855000,0.0124000,-0.0123000
08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855000,0.0124000,-0.0123000
08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855000,0.0124000,-0.0123000
08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855000,0.0124000,-0.0123000
08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855000,0.0124000,-0.0123000
06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,20.18918,156.97286,34.85376,94.93477,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,54.6599000,0.2734000,-0.2734000
13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,44.08875,311.85177,-9.30380,205.00463,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.5033200,0.0173700,-0.0173000
13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,44.08875,311.85177,-9.30380,205.00463,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.5033200,0.0173700,-0.0173000
13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,44.08875,311.85177,-9.30380,205.00463,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.5033200,0.0173700,-0.0173000
