rastr,ra,decstr,dec,glat,glon,elat,elon,ra_reflink,sy_dist,sy_disterr1,sy_disterr2
05h37m18.42s,84.3267559,-27d58m21.27s,-27.9725758,-27.62676,232.00021,-51.25406,81.98133,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,446.0350000,3.2410000,-3.1960000
06h47m58.62s,101.9942455,-21d54m38.56s,-21.9107112,-10.52264,232.27915,-44.69689,105.73377,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,772.1100000,11.3030000,-10.9870000
00h26m48.63s,6.7026401,-56d18m57.97s,-56.3161021,-60.47939,309.86547,-52.11036,333.74870,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,453.8080000,3.9270000,-3.8610000
19h09m56.26s,287.4844021,-49d39m53.79s,-49.6649424,-23.20563,347.51462,-26.98793,282.60125,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,300.6700000,3.8530000,-3.7590000
19h14m41.28s,288.6720048,-59d34m45.66s,-59.5793505,-26.03035,337.02981,-36.89585,281.69112,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,263.6090000,1.6690000,-1.6490000
00h26m27.26s,6.6135927,-56d20m39.41s,-56.3442798,-60.44212,309.95254,-52.10018,333.65765,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,324.4130000,2.3870000,-2.3530000
04h28m53.48s,67.2228465,-21d28m55.40s,-21.4820568,-40.50457,218.87313,-42.63073,60.67842,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,246.3840000,1.7420000,-1.7190000
20h01m42.74s,300.4280761,-26d04m39.23s,-26.0775640,-26.21481,15.57751,-5.46517,297.19216,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,756.7420000,16.9780000,-16.2610000
06h51m23.38s,102.8474248,-29d03m31.16s,-29.0586551,-12.80521,239.24083,-51.68617,108.26701,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,389.5700000,3.9490000,-3.8720000
09h20m21.02s,140.0875894,-31d16m09.16s,-31.2692116,12.91685,258.64602,-43.97738,155.64739,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,555.1340000,6.0570000,-6.0570000
11h46m30.80s,176.6283230,-33d51m36.28s,-33.8600764,27.09909,287.81848,-32.04716,192.03701,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,585.7700000,8.5010000,-8.2650000
13h22m32.37s,200.6348641,-44d41m19.82s,-44.6888393,17.83244,308.73080,-33.06329,217.44644,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,748.5850000,22.6650000,-21.3920000
07h37m08.01s,114.2833819,-32d45m19.51s,-32.7554188,-5.65081,247.00209,-53.25778,125.31641,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,609.8380000,6.0990000,-5.9820000
12h00m39.62s,180.1650720,-45d47m58.04s,-45.7994559,16.16540,293.75341,-41.06749,202.37213,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,564.4090000,11.5130000,-11.0700000
04h03m47.59s,60.9482779,-19d03m24.55s,-19.0568182,-45.29945,213.15118,-38.92004,53.84351,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,279.4850000,3.1180000,-3.0500000
12h27m08.95s,186.7873036,-48d58m42.28s,-48.9784105,13.69998,298.83397,-41.40294,209.66482,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,403.5910000,,
11h21m17.84s,170.3243250,-22d23m17.44s,-22.3881770,35.90172,276.98925,-24.28437,180.55722,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,642.8840000,13.9400000,-13.3710000
11h21m17.84s,170.3243250,-22d23m17.44s,-22.3881770,35.90172,276.98925,-24.28437,180.55722,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,642.8840000,13.9400000,-13.3710000
05h52m35.23s,88.1468079,-19d01m53.86s,-19.0316268,-21.24572,224.11351,-42.45563,87.62139,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,169.3180000,1.0650000,-1.0510000
22h45m27.37s,341.3640336,-14d59m30.39s,-14.9917747,-58.32068,48.99978,-6.57766,337.12489,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,486.4740000,8.5840000,-8.2960000
04h06m37.87s,61.6578005,-25d20m58.80s,-25.3496674,-46.47071,222.08862,-45.16960,52.51235,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,679.7610000,8.7320000,-8.5180000
20h49m47.83s,312.4493079,-24d18m12.62s,-24.3035060,-36.02854,21.44250,-6.32166,308.23100,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,523.0670000,10.4260000,-10.0330000
04h29m40.46s,67.4185820,-28d11m49.97s,-28.1972149,-42.08891,227.56660,-49.21906,58.78930,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,623.2320000,6.0920000,-5.9770000
09h37m09.03s,144.2876092,-29d48m01.60s,-29.8004440,16.52291,260.19288,-41.10611,159.23913,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1080.1500000,42.2500000,-39.2400000
19h31m45.55s,292.9397825,-26d44m24.73s,-26.7402021,-20.13798,12.40758,-4.91479,290.44462,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,493.3200000,12.6190000,-12.0150000
06h45m34.75s,101.3948048,-33d52m54.09s,-33.8816918,-15.84807,243.30951,-56.63660,107.34841,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1477.9800000,36.6000000,-34.9000000
12h00m50.11s,180.2087883,-46d08m11.11s,-46.1364201,15.84163,293.85557,-41.33745,202.64319,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,960.1090000,24.0250000,-22.9000000
01h00m01.46s,15.0060770,-58d54m17.01s,-58.9047242,-58.18845,300.82877,-57.01793,336.39718,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,603.9550000,10.3710000,-10.0340000
19h17m11.38s,289.2974275,-60d53m30.34s,-60.8917599,-26.54746,335.64057,-38.24132,281.80719,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,414.5370000,3.5450000,-3.4870000
13h55m25.62s,208.8567465,-21d12m28.29s,-21.2078587,39.24434,322.30706,-8.79661,214.28259,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,240.7070000,1.6490000,-1.6280000
07h16m25.09s,109.1045212,-31d14m39.82s,-31.2443947,-8.84384,243.60243,-52.86754,117.61217,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1458.8300000,68.6000000,-62.8100000
01h02m12.45s,15.5518893,-61d45m22.08s,-61.7561333,-55.32527,300.69263,-59.17280,332.82493,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,140.2250000,0.8650000,-0.8550000
22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046,-57.17082,43.77685,-7.59034,334.26400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,127.5890000,0.6140000,-0.6090000
11h24m03.55s,171.0147921,-19d33m25.05s,-19.5569588,38.74006,276.21878,-21.44832,179.88090,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,299.3890000,7.1880000,-6.8650000
04h03m47.85s,60.9493919,-25d24m32.12s,-25.4089214,-47.10702,221.95580,-45.05342,51.61654,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,194.9640000,1.1250000,-1.1110000
04h41m21.54s,70.3397665,-32d19m13.50s,-32.3204175,-40.39974,233.59134,-53.81248,61.20993,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,385.6890000,5.7415000,-5.7415000
09h59m17.68s,149.8236672,-27d23m34.14s,-27.3928174,21.57897,262.26931,-36.84491,163.55781,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,436.1760000,10.9100000,-10.4000000
19h39m46.01s,294.9416887,-25d44m54.12s,-25.7483655,-21.46173,14.08379,-4.22679,292.38707,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,794.6370000,19.4120000,-18.5240000
19h23m14.44s,290.8101704,-20d09m58.96s,-20.1663771,-15.82835,18.01760,1.87579,289.48793,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,638.7000000,12.6330000,-12.1600000
11h33m25.32s,173.3555116,-70d11m41.24s,-70.1947897,-8.32378,296.36705,-61.49887,225.14311,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,109.6770000,0.6210000,-0.6130000
11h35m03.69s,173.7653631,+20d26m29.55s,20.4415410,71.31893,229.79849,16.25744,165.99751,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,137.1780000,0.8950000,-0.8950000
11h35m51.51s,173.9646303,-04d45m19.95s,-4.7555425,53.25718,270.28510,-6.76184,176.34972,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,49.5336000,0.1459000,-0.1451000
01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.9607000,0.0387000,-0.0386000
01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.9607000,0.0387000,-0.0386000
01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.9607000,0.0387000,-0.0386000
01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.9607000,0.0387000,-0.0386000
01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.9607000,0.0387000,-0.0386000
01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.9607000,0.0387000,-0.0386000
11h43m30.15s,175.8756080,-58d00m19.37s,-58.0053798,3.68473,294.01002,-52.49241,209.77836,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,30.0274000,0.0409000,-0.0407000
11h44m50.33s,176.2097267,-58d42m14.45s,-58.7040134,3.05495,294.36019,-52.90563,210.75193,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,39.5792000,0.0646000,-0.0644000
11h45m42.10s,176.4254063,+02d49m15.57s,2.8209912,61.04918,267.21723,1.16800,175.59956,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,29.3386000,0.0482000,-0.0480000
11h46m23.53s,176.5980316,+14d07m26.47s,14.1240201,70.02217,250.29360,11.59514,171.19997,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,347.0970000,13.7975000,-13.7975000
11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143,61.74645,266.98341,1.87407,175.58637,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,217.1070000,3.1720000,-3.0830000
11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143,61.74645,266.98341,1.87407,175.58637,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,217.1070000,3.1720000,-3.0830000
11h46m28.99s,176.6208003,-40d29m55.04s,-40.4986211,20.70994,289.79179,-37.85530,195.96766,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.2894000,0.0142400,-0.0142000
11h50m20.51s,177.5854673,-01d15m08.28s,-1.2522989,58.03595,273.09687,-2.10927,178.28257,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,62.7580000,0.2124000,-0.2111000
11h51m22.49s,177.8436988,+57d38m26.37s,57.6406584,57.69918,137.97253,50.08471,146.46475,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,121.8900000,0.4345000,-0.4345000
11h52m52.85s,178.2201971,-50d17m34.05s,-50.2927911,11.49757,293.44815,-45.53916,204.26223,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,57.1463000,0.0970000,-0.0967000
11h56m41.12s,179.1713308,-02d46m44.90s,-2.7791393,57.30785,276.98106,-2.87924,180.34225,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,45.5352000,0.1032000,-0.1026000
11h56m55.46s,179.2310729,-12d06m28.78s,-12.1079951,48.59416,282.54664,-11.40049,184.17679,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,56.4089000,0.1785000,-0.1774000
11h57m45.19s,179.4382907,-08d32m55.03s,-8.5486195,52.02540,281.02942,-8.06165,182.90433,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,55.5213000,0.4446000,-0.4378000
11h58m11.51s,179.5479558,-23d55m26.84s,-23.9241221,37.35505,287.57862,-22.02010,189.60559,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,26.4997000,0.0538000,-0.0537000
11h59m10.17s,179.7923543,-20d21m20.18s,-20.3556058,40.85838,286.65584,-18.69278,188.20483,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.3632000,0.0245000,-0.0244000
11h59m10.17s,179.7923543,-20d21m20.18s,-20.3556058,40.85838,286.65584,-18.69278,188.20483,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.3632000,0.0245000,-0.0244000
01h41m53.17s,25.4715240,+02d42m15.91s,2.7044193,-57.78259,147.08028,-7.33026,24.60159,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,135.3740000,1.3395000,-1.3395000
12h05m15.79s,181.3157854,+76d54m19.21s,76.9053359,39.91754,126.32086,63.59776,120.61787,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,100.5760000,0.7190000,-0.7190000
12h09m36.51s,182.4021288,+11d12m41.65s,11.2115695,71.29123,269.21713,11.22966,177.68111,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,70.0837000,0.2478000,-0.2462000
12h09m36.51s,182.4021288,+11d12m41.65s,11.2115695,71.29123,269.21713,11.22966,177.68111,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,70.0837000,0.2478000,-0.2462000
12h10m38.69s,182.6612053,-16d57m23.37s,-16.9564908,44.81839,289.11900,-14.47239,189.31684,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,55.2411000,0.1700000,-0.1690000
12h13m29.53s,183.3730583,+10d02m25.55s,10.0404302,70.71215,273.50460,10.54468,179.05614,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.1850000,0.0790000,-0.0787000
12h13m37.18s,183.4049258,-09d30m48.83s,-9.5135645,52.22842,287.59509,-7.37382,186.91613,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,93.8080000,0.5686000,-0.5686000
12h13m53.39s,183.4724742,-00d23m36.37s,-0.3934357,61.03534,283.25037,1.01948,183.33896,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,109.3530000,0.6910000,-0.6810000
12h13m53.39s,183.4724742,-00d23m36.37s,-0.3934357,61.03534,283.25037,1.01948,183.33896,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,109.3530000,0.6910000,-0.6810000
01h42m29.60s,25.6233526,-53d44m28.63s,-53.7412852,-61.76870,286.89639,-57.30461,350.82962,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17.3357000,0.0223000,-0.0223000
12h15m06.30s,183.7762699,-07d15m27.15s,-7.2575413,54.50662,287.28411,-5.15883,186.34840,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,34.0915000,0.0856000,-0.0851000
12h17m53.12s,184.4713308,-55d58m32.09s,-55.9755805,6.58881,298.21871,-47.99243,213.53367,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,103.0290000,0.4610000,-0.4570000
01h44m55.78s,26.2324076,+20d04m57.71s,20.0826974,-41.04386,139.67128,8.62165,31.55559,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,33.1205000,0.0442000,-0.0442000
12h19m13.43s,184.8059773,-03d19m11.97s,-3.3199927,58.57514,287.37149,-1.13814,185.72738,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,49.4156000,0.1160000,-0.1154000
12h19m13.43s,184.8059773,-03d19m11.97s,-3.3199927,58.57514,287.37149,-1.13814,185.72738,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,49.4156000,0.1160000,-0.1154000
12h25m45.84s,186.4409852,-64d01m20.46s,-64.0223492,-1.29064,300.12454,-53.63331,222.77297,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.9200000,0.0488000,-0.0487000
12h25m50.72s,186.4613189,-01d06m39.32s,-1.1109233,61.09684,289.60440,1.54524,186.36792,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.6846000,0.0675000,-0.0673000
12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,11.31345,298.93443,-43.48993,211.23953,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,64.5978000,0.1943000,-0.1932000
12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,11.31345,298.93443,-43.48993,211.23953,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,64.5978000,0.1943000,-0.1932000
12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,11.31345,298.93443,-43.48993,211.23953,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,64.5978000,0.1943000,-0.1932000
12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,11.31345,298.93443,-43.48993,211.23953,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,64.5978000,0.1943000,-0.1932000
12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,11.31345,298.93443,-43.48993,211.23953,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,64.5978000,0.1943000,-0.1932000
12h27m31.00s,186.8791724,-71d25m20.96s,-71.4224896,-8.64016,301.00794,-58.70416,232.48662,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,48.9102000,0.0618000,-0.0615000
12h30m19.83s,187.5826081,+21d56m53.16s,21.9480993,82.93966,258.98417,23.05464,177.73384,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,164.7420000,1.3265000,-1.3265000
12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,83.62475,253.57668,23.90745,177.32461,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,59.5175000,0.1585000,-0.1576000
12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,83.62475,253.57668,23.90745,177.32461,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,59.5175000,0.1585000,-0.1576000
12h32m06.52s,188.0271840,+74d29m21.62s,74.4893379,42.57306,124.68489,64.01677,127.18648,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,67.8349000,0.1236000,-0.1232000
12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,51.00899,295.97556,-7.34960,192.30538,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,55.8716000,0.2082000,-0.2068000
12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,51.00899,295.97556,-7.34960,192.30538,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,55.8716000,0.2082000,-0.2068000
12h33m35.00s,188.3958418,+07d16m51.26s,7.2809064,69.70561,290.07159,10.01395,184.80395,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,55.4156000,0.1570000,-0.1562000
12h37m16.16s,189.3173489,-40d48m43.72s,-40.8121458,21.98007,300.04152,-33.42922,206.50177,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.0821000,0.2965000,-0.2938000
01h48m39.07s,27.1628025,+37d57m09.92s,37.9527542,-23.55208,135.20142,24.90231,39.33381,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,116.5060000,0.9750000,-0.9750000
12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,-11.72233,302.09461,-60.05035,238.32376,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,79.5561000,0.1488000,-0.1483000
12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,-11.72233,302.09461,-60.05035,238.32376,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,79.5561000,0.1488000,-0.1483000
