ra,dec,sy_dist,pl_rade,st_rad,st_teff,x,y,z
0.1856063,-54.8308228,7116.90240496945,22.75427,1.388911883144366,4590.0,35.587864254514194,0.11528519152399903,-50.5069400625982
0.325761,-8.9262512,32273.85934388702,15.46842,1.7629611245729262,6260.0,272.24493197835375,1.5478930155757566,-42.76091215483926
0.3620995,39.3837953,31431.730429802108,12.442,1.6264912188110245,6516.0,207.4689095778075,1.3111853829361755,170.3220398289285
0.7744866,-62.4693167,59719.82551055954,16.02887,1.4903247033044646,5380.0,235.1772750541304,3.1791650984267243,-451.2224763588255
1.0465696,-47.3606352,41319.59701722857,13.45,1.513455642895304,5540.0,238.7127790326577,4.360833008943466,-259.28375104887243
1.5836771,-49.0753625,2927.9905731828144,10.9,1.62626322448367,6245.0,17.146541836322566,0.47405765795962385,-19.78487575099146
1.6764641,-7.5462123,417.41448653596893,1.03,0.830665525484914,3024.0,4.804619499916755,0.1406224267202338,-0.6367554970496878
2.072903,-8.8242618,12971.49275019431,14.0,2.296735479710932,4770.0,110.14960659230911,3.986840316146934,-17.111020888686888
2.2492922,-39.7372401,6322.886738470027,11.9,1.580369432687859,6114.04,42.29035991982792,1.6610695289701922,-35.18369952295153
2.2715087,-27.1217452,2638.640396764455,1.44,1.2226125051315442,3650.0,21.100670122440235,0.8369810740115148,-10.816364893331977
2.4694459,-50.2678998,5867.334649079063,12.5,1.5004339811091778,5902.0,32.674808702362995,1.4091556625594586,-39.3487036558088
2.9276336,-39.2304879,3947.793744675604,12.1,1.371957597180772,4497.0,26.96163750783737,1.3788548498010587,-22.042043405482108
3.9032733,-11.9382645,42737.22579421543,12.3299,1.4640019026290774,5420.0,355.80075275116695,24.27648329143117,-75.40208780069558
3.9579137,13.5576175,1283.5859046050841,0.958,1.0476554470160315,3296.0,11.841455206221765,0.8192950513560678,2.862305751988587
3.9617073,1.2005122,32321.749027837363,10.76064,1.4799010975628684,6140.0,275.27406104039034,19.06417158809355,5.782448961400134
4.0634323,-79.8514218,1912.611608364552,13.1,1.4617742157257525,5540.0,3.0855976058145758,0.2191990472471239,-17.281222873473894
4.1463468,-10.9764226,61620.23407439709,11.99363,1.6075022103495875,6350.0,514.0396112477528,37.26478713895261,-99.9613112996618
4.4471631,-66.3589285,9209.52862900668,11.500434,1.7815507830235697,5521.0,31.812045458899075,2.474146336409377,-72.89231160874904
4.5239602,59.7661983,42761.11180365503,13.67495645,1.6352641850957335,6110.0,183.07269144742023,14.48516816755551,315.105697781483
4.6030424,-15.2674044,29587.801100107463,13.56289,1.5637658385196036,6034.0,243.05200053216845,19.56848927886697,-66.55757917512959
4.6126677,44.0247296,266.05131568370047,1.55,1.1727002939170073,3607.0,2.55312535988549,0.20598773160508035,2.4756733931473636
4.6762645,-8.0536206,2606.541365359905,2.42,1.5446217250264975,5765.0,23.144787608133523,1.8931954200962826,-3.2858163727931156
4.7730178,-9.9661505,2221.988379889415,1.71,1.3297244863117845,4026.0,19.81166589238647,1.654236776366444,-3.49337863624419
4.8214389,14.054683,22315.393713781934,13.2,2.0137956679284885,4947.0,184.5812423475627,15.569275677145782,46.37252243860979
4.859275,44.0275965,38562.939730770384,12.722215,1.4422163008455342,5215.0,235.7282528122109,20.040266723719597,228.68158612302952
5.1317548,30.9750611,10296.10672836634,13.8,1.9161470893599342,4915.0,75.83518818125093,6.8104769289214735,45.70466474666331
5.1605621,-23.9357894,24777.417662127977,16.388,1.6079842602463708,5940.0,192.87075363945854,17.418765408498626,-85.96116641362526
5.1669536,31.9899732,46097.74022571815,16.623,1.62626322448367,6110.0,332.02571920184033,30.023629612278242,208.23808642370255
5.2180424,-19.9314823,13720.548593014559,12.7,1.717541845190416,6317.0,110.38605901849121,10.080967735535422,-40.19438428289791
5.2377567,-35.998465,24697.287748687733,10.603714,1.444577336275417,5150.0,170.1510269341417,15.598017867329512,-124.13331659094372
5.2758121,-33.8031679,6034.066054871759,12.1,1.3053785842364352,3864.0,43.50885097261262,4.017669097393528,-29.254052616292924
5.3055886,-8.2811442,88403.39289538842,12.5,2.5281964868336164,4374.0,741.5768456321824,68.86696015128999,-108.39954818514161
5.618525,-59.9425892,40104.82282287163,13.170575,1.5169496793512418,5943.0,170.54352991989737,16.77761171556955,-296.1303695124542
6.0851069,-56.649988,9929.874194470953,12.7,1.555418544804906,5945.0,46.844035522443626,4.993868156878419,-71.58107820956425
6.5293373,14.3364283,55961.25014342048,16.6117094,1.6244336666258161,5692.0,459.050696325749,52.54033435032195,118.08737303455159
6.6135927,-56.3442798,38018.97410693155,8.574885,1.3764137208710405,4405.0,178.59368905684744,20.70693234229166,-270.0357601337976
6.7026401,-56.3161021,53244.24598593346,10.121727,1.443792170470528,5495.0,249.9665158800136,29.375993946784725,-377.6181838609541
7.0539375,42.0613451,43107.40010799371,12.408363,1.521656340348176,5747.0,270.8935508568675,33.520435980578156,246.30361231583623
7.1413494,-16.2273254,3901.6690367922333,12.8,1.3961477837313332,4714.0,32.83074321274115,4.113348386412626,-9.629898298582761
7.3020115,-30.4541159,7224.377680940548,1.152,1.3531866615417403,4316.0,53.61041707800347,6.869565828868892,-31.77887422558185
