ra,dec,sy_dist,pl_rade,st_rad,st_teff,hostname,sy_pnum,x,y,z
296.8372475,48.2399695,1680.6928339133112,13.31600225,1.9096144578965228,5613.0,Kepler-6,1,505.34462094388056,-998.7983736908209,1253.6973417708175
287.1305782,42.3501533,1807.3467696195105,8.547,1.7911705279599754,5522.0,Kepler-491,1,393.43230537609276,-1276.4473595641728,1217.5366544799317
297.3159994,46.0232642,2240.096973613963,2.67,1.7865753921591394,5188.0,Kepler-257,3,713.7913351661288,-1381.9983647771114,1612.0226117488494
293.7280695,46.1291139,3419.0677543633856,2.23,1.8722881254376968,6142.0,Kepler-216,2,953.4924295880985,-2169.2283267939038,2464.8174297258993
297.8423073,46.5743595,918.6962480223494,2.08,1.5144368545005131,3727.0,Kepler-32,5,294.9464781536956,-558.4159212096586,667.2188772019585
288.2119707,46.6150461,2882.498150184034,2.71,1.7487496731023373,5926.0,Kepler-259,2,618.8093647859615,-1880.7949216246761,2094.870167494492
289.7861626,46.8588176,2271.675048792208,3.55,1.7255214628674054,5271.0,Kepler-148,3,525.8315892601116,-1461.6609227755646,1657.575341838841
287.9060885,46.9377479,2178.13365052193,3.75,1.727953081648573,5431.0,Kepler-222,3,457.2552924580856,-1415.1754491407726,1591.3711839807434
298.348382,47.4913021,2391.4470660333222,3.14,1.768978018166044,5701.0,Kepler-29,2,767.2830640412184,-1422.121110138479,1762.9144384721012
298.6636163,47.7619329,1734.6624772063954,1.8,1.7408395611469554,5475.0,Kepler-179,2,559.320772449873,-1023.1622144612143,1284.2714924161207
280.69092,47.8096702,1604.9714643147208,2.186,1.6735793555283123,5100.0,Kepler-165,2,199.96064989807581,-1059.1818719680095,1189.1521777515363
296.2860853,48.2246328,4742.584879785869,2.84,1.7636809171015375,5630.0,Kepler-228,3,1399.2249708672998,-2832.84842100648,3536.8419029518464
287.6979913,42.3385782,799.1703237848252,2.868,1.7487496731023373,5508.0,Kepler-20,6,179.5813990400346,-562.7710062937119,538.2494979211118
293.1600977,48.8812074,1728.4377718214841,1.59,1.6779864484808917,5409.0,Kepler-166,3,447.0500592517271,-1045.055368561911,1302.1146847425432
286.7380152,49.9757383,912.0227848073631,2.21,1.5519061763821282,4222.0,Kepler-52,3,168.91905937050913,-561.6822942286249,698.401683660076
295.2264739,50.5592348,938.1752330594113,1.42,1.840052627658335,6003.0,Kepler-197,4,254.0153527436732,-539.1633171545584,724.5356346871291
125.007177,14.0194586,933.7339781475723,2.3,1.7408395611469554,5482.0,K2-183,3,-519.7080738051749,742.0222072379505,226.19837297099636
132.5235618,23.1924709,939.1625002855764,2.25541631,1.7523800309982094,5477.0,K2-187,4,-583.4757776995436,636.2266073256424,369.86203226537174
131.2665588,13.5497322,793.2496156396422,1.38,1.690929606204274,4877.0,K2-270,2,-508.63594142493935,579.6501119659458,185.84988431815694
291.9518784,43.0746172,1748.1136312614178,2.497,1.7225842963731024,5530.0,Kepler-184,3,477.3539679069077,-1184.355461994336,1193.8746151793723
291.5953596,-22.2477071,1114.6731352338118,7.67,1.8986684984060007,5742.0,K2-280,1,379.7134747109844,-959.2737419704619,-422.02815486750865
288.0267612,-21.0075789,402.9258454640222,2.0,1.6371057805743707,4473.0,K2-381,3,116.40214216753508,-357.68042403263547,-144.44546550702154
291.4787013,-23.2028183,2460.654209066308,13.843115,1.8566650551887136,6149.0,HATS-36,1,828.1066297626288,-2104.5650606132062,-969.4660654118062
286.9994758,48.3757867,2373.3027736392573,2.49,1.6855863417299641,5014.0,Kepler-229,3,460.894936290404,-1507.5687400659506,1774.0852310533503
16.4625203,11.7537171,274.43634547222587,2.53826377,1.8224670780722418,6101.0,K2-222,1,257.66750032369066,76.14128547288938,55.904129003390544
14.8759777,4.2277722,851.5070676187979,2.43,1.8954625689388938,5854.0,K2-214,1,820.7283778279278,218.01050992918445,62.77446609186743
12.7700071,9.5167694,657.1630798664472,2.37,1.8082552678038222,5612.0,K2-220,1,632.0876211998137,143.25886428561563,108.6528898332245
11.4802354,6.3470302,315.37464042229345,1.75,1.6634861535426746,4503.0,K2-216,1,307.17067259682653,62.38424059763596,34.86471343579898
18.4241015,3.0970732,297.2998331115953,2.39257704,1.5876479769768224,4349.0,K2-212,1,281.6492104138818,93.82382693037495,16.06245751927247
19.3047733,9.5012663,182.249327285232,1.49,1.471370331589931,3695.0,K2-151,1,169.64253728982226,59.423838224120146,30.0837878018123
19.6101417,6.8167277,655.0987938481022,11.6786,1.680172303484953,4492.0,K2-295,1,612.7394376850625,218.3089177379268,77.75620645792077
13.4321524,7.9952914,1417.952362433917,2.82,1.772471662610759,5523.0,K2-282,2,1365.7590624467898,326.17972689676367,197.22543253329337
13.1943679,9.6929181,1147.6148551731237,3.52,1.7166458784388943,5060.0,K2-283,1,1101.3688359556015,258.2095119927063,193.22109335246262
16.2274724,7.2692169,1307.5000319993285,8.18,1.6855863417299641,4812.0,K2-281,1,1245.318708350653,362.44613001254254,165.4401739271244
19.4418282,11.3684915,752.1376079811585,7.322,1.578612750973135,3572.0,K2-387,1,695.3349642075623,245.436815837927,148.2600361575106
182.699673,-6.2943552,415.98035550149433,1.15,1.627919912838472,4597.0,K2-156,1,-413.0138315154537,-19.47487546097798,-45.60658248381896
183.7514959,-5.7820178,844.9436224524752,1.0,1.7455110852701348,5456.0,K2-157,3,-838.8435462397764,-55.00270574955656,-85.123042798144
179.9397081,-5.7216879,552.3129842782789,2.64,1.7767971411933234,5503.0,K2-158,2,-549.5610035006765,0.5782989528819684,-55.06361415698087
183.4686492,-3.8318097,597.4869741018931,1.75,1.7636809171015375,5677.0,K2-244,1,-595.0591866405479,-36.0685705512715,-39.92877201359689
294.5589885,46.0623952,961.7914757685842,8.18,2.1185594192143338,5854.0,Kepler-108,2,277.3758589668578,-606.9889364804276,692.5820577475772
180.5408896,-3.5809053,476.16601854406895,2.20753881,1.7215586694872895,5419.0,K2-159,1,-475.2151752715428,-4.486309187824942,-29.740333515591878
184.0545174,-3.5530888,894.1332710523089,3.17824034,1.7608963704222114,5649.0,K2-160,1,-890.1810585849815,-63.098736583440655,-55.412442472761384
183.7938491,-3.4956913,2634.0281777010246,6.11721229,2.183298019918726,4972.0,K2-161,1,-2623.3657400968923,-173.9608924092465,-160.60586079294796
186.0383865,-1.111479,341.35048075411856,1.44,1.6460897446698746,4842.0,K2-162,1,-339.3926756597507,-35.90151892033463,-6.62143177839935
182.3292517,-0.5393421,584.8262128701643,2.46610713,1.6867684037396051,4937.0,K2-163,1,-584.3171262945643,-23.76740386494579,-5.505060621050274
184.9004881,0.968327,370.7600422889691,1.27443657,1.7085033908244502,5185.0,K2-165,3,-369.35199967179216,-31.667805853245483,6.2657297266744445
183.7203635,1.9681688,653.0692503714404,1.2,1.7939991485313231,5711.17,EPIC 201595106,2,-651.3085264064138,-42.35068808235524,22.429187010943572
185.1880932,2.2823788,1361.7649868967198,2.19,1.992426059451779,5960.0,K2-166,2,-1355.110248475437,-123.04075720380477,54.23159670688172
52.5035514,17.5841081,696.9780326354238,2.03803688,1.9411067821806585,5909.0,K2-175,1,404.4353506366529,527.1380604825134,210.56089457087592
58.2691796,17.9069486,697.0822602604734,1.49090097,1.7380864912246365,5428.0,K2-176,1,348.85601268770625,564.1669967111181,214.3332914025315
55.2296156,20.7360891,1406.0182993657286,2.1162048,1.8768828267988038,6063.0,K2-177,1,749.8948097639025,1080.1481563736447,497.8204422510918
52.8888524,22.4348186,602.8460111565306,3.54381082,1.749829806644862,5888.0,K2-178,1,336.2055235832194,444.3636589366432,230.065420469726
285.5739904,38.4008192,1800.0276741715777,1.48,1.7793706265776335,5779.0,Kepler-9,3,378.73598022231363,-1358.8611237148118,1118.103363524635
130.2596625,14.6902225,758.0409448555,1.31284773,1.761162447974768,5722.0,K2-185,2,-473.87213253921374,559.5689844113928,192.23378414045652
129.6821253,15.6806039,451.5074995843995,2.41,1.7313332277641686,5368.0,K2-263,1,-277.5704918621427,334.54758156133886,122.030979262743
135.3350487,18.8252879,938.6500477957486,3.17207779,1.7898515832937636,5784.0,K2-186,1,-631.883973149989,624.5367144160961,302.88685849586284
130.4971951,19.9166357,1201.1560071187814,3.21,1.858430733578619,5817.0,K2-341,1,-733.3887176722717,858.7729884292065,409.17685244026836
129.8137008,23.3574367,1274.7320247684327,1.35,1.8688675706510516,5977.0,K2-188,2,-749.3142143578362,898.9176798126423,505.38791838723523
203.6214411,-15.0365158,682.0590061942854,1.51234354,1.7371986391520748,5503.0,K2-189,2,-603.5146885478879,-263.9380818348796,-176.94970357422608
205.3630485,-13.1608686,446.2903279083018,1.09308317,1.7602033090113878,5631.0,K2-190,2,-392.6810599908185,-186.14842136755203,-101.6140105071884
199.8315191,-8.5095364,893.1228421316885,2.57581891,1.7575784792225257,5712.0,K2-195,2,-830.9064873310031,-299.66118298808277,-132.15897948615304
200.4562487,-8.4717104,1674.4333859867168,3.59970536,1.9739378595512052,6045.0,K2-196,1,-1551.7244299967995,-578.8158356683161,-246.67931781492751
292.2196,44.6173667,97.07132736164822,0.962,1.1167760811656895,3241.0,Kepler-42,3,26.12941609781553,-63.9656217943985,68.17987561293629
293.5607117,-23.1312775,554.1456533520691,1.40006712,1.7446559887031008,5507.0,K2-201,2,203.69613800089394,-467.11486522602314,-217.6901265041355
283.2643203,-22.4070553,850.8035311497125,2.30165603,1.7595211894069478,5491.0,K2-202,1,180.47283966825924,-765.5830184528869,-324.3128807424418
287.4125267,-19.6269336,787.152299574236,2.072,1.7121347533076936,5452.0,K2-382,1,221.8690456402594,-707.4429260323249,-264.40002972486747
282.008765,-18.3795798,571.1000136934832,1.564,1.708591353555505,5129.0,K2-383,1,112.7624370892771,-530.1067858353232,-180.07402376169196
