ra,dec,sy_dist,pl_rade,st_rad,st_teff,x,y,z
185.1787793,17.7932516,1081.1467973413214,12.2,2.376085991078888,4874.0,926.7787280441461,-164.04144687274376,532.0244264638305
229.2745954,71.8239428,1459.2799765309014,12.3,2.635047500433767,4213.0,-610.7316362308603,37.71060548427372,-1324.7953912377616
352.82415,39.2358367,872.345422016432,13.1,2.317387549262596,4888.0,495.8859077961735,717.0778485401497,29.716340542234594
242.6021014,43.8163621,195.69007411382776,12.6,1.4727675168388443,5338.0,24.733111864623627,20.809890709094798,193.0021417830459
295.4656422,50.5168243,233.4299690284,13.5,1.5380733505344324,5750.0,57.35056061946865,9.016025043783877,226.09549957847966
243.4620874,-11.8377905,1454.949901913279,12.9,2.588392638865649,4157.0,-10.98821767158535,-968.6591829242994,1085.5679911853936
314.6078375,10.8391378,881.5562437845705,12.5,2.2262175166201037,4980.0,-784.6415584763591,-377.644246811439,-137.34576264877035
242.3762343,-21.0831403,1621.8225057913305,18.647,1.5884365580059467,4060.0,1137.7336131869943,583.0919880074102,-997.9349674389125
217.1555242,49.8446488,1114.113020320107,13.9,2.3354685953425203,4816.0,421.7142809098867,171.19784091025275,1016.9052003953543
155.8684866,-0.9023998,832.6911163945579,13.4,2.0299139438357954,5098.0,-230.00067760872236,611.6980750099461,516.0422934712523
69.3405531,26.8502997,1496.4974385296518,13.0,1.438643276134913,3100.0,1442.9244750030057,331.03157485646165,-218.84158519614093
20.7128012,-24.6646128,382.7281178823185,11.209,1.1605270778252348,3530.0,-49.787165953378825,165.36094279405907,341.5520588758506
34.8427046,-39.4230767,456.4045865981218,16.14096,1.0715115622789666,3064.0,432.84269511900436,126.89949643946727,-69.63379749323444
42.4851627,-5.9599921,762.0002949604469,12.4,1.1108240705925894,2859.0,17.810667521079605,-241.35200878933185,722.5485710286997
59.7911026,20.1599759,1366.4893014369572,12.2,1.0818221681825748,2943.0,-1313.7211310931125,-132.92940372224723,351.79479002274087
70.4371079,23.0308544,1401.6592377627744,12.6,1.0071474540298508,2936.0,-297.5183003888393,-1171.3957397640593,-709.9038671553146
178.7691634,-79.3197558,1171.4829790514718,12.1,1.3260898413092108,3021.0,-786.6394232682009,244.73123688904073,-832.872985309491
181.8890906,-39.5484399,741.3700780390405,12.9,0.9877364814322225,2825.0,-675.8730799711165,226.4426682191485,-203.8354493010537
294.6359173,46.0664076,4648.132835760536,13.4,0.9625003767595137,29564.0,3164.206631201268,-2526.4454063101593,-2282.544383549091
321.3662989,-81.6414894,386.10863537591354,12.4,1.3642457434245832,3592.0,9.28796101850522,12.29542271641485,385.80102990037955
339.1025931,47.861683,803.3289745445161,12.3,1.3480761791747713,4045.0,-530.7000398802362,101.74140709897368,-594.4271150405073
39.2412736,24.6480103,510.14644675941867,12.3,1.6122918010270992,6331.0,-6.805882038516382,-237.61564542555195,451.377759930567
130.0528099,64.3280504,849.0606810903092,12.6,2.4681829406663907,4415.0,-268.9822223920372,-802.8375938177923,63.28034579107505
276.4975053,65.5633652,1051.376357694455,13.0,2.533875189260745,4200.0,418.87370078358754,15.652960152486557,-964.2053998755581
164.8647611,40.4304931,147.0285072968717,13.2,1.5619306040071503,5872.0,4.034049187922141,58.496505002405485,-134.83051326609726
69.4007424,-2.4738245,334.8313740277143,13.4,1.630176813920389,7295.0,-198.9345139807049,-58.43506615665074,-262.91148933398796
344.3675399,20.7690958,166.6162116880572,14.3,1.5513396542474251,5758.0,55.62187233349345,-146.37452876922166,-56.935635967154575
133.1468373,28.3298154,132.77691388147923,13.9,1.4774215727712805,5172.0,-2.668370419546351,-6.862352992817324,-132.57260942817643
97.6960311,58.1611753,627.8456407610944,13.4,2.0326396958047237,4941.0,-598.0344585329744,-189.36607623784093,-26.180607329959354
